Artist,Song,Days,PkStreams,Total,listeners,playcount,rank,track_url,artist_url,duration_min,duration,genre,genre_description,artist_listeners,artist_playcount
Taylor Swift,Cruel Summer,976,"5,405,688","2,654,773,625",1611779,47213782,26,https://www.last.fm/music/Taylor+Swift/_/Cruel+Summer,https://www.last.fm/music/Taylor+Swift,2.966666666666667,2 мин 58 сек,country,"Country music is a broad term, covering a great many styles of music predominantly created in the southern United States of America - however there are growing traditions of country music elsewhere, particularly in Canada and Australia.

Country music is generally characterized by its use of the guitar and its heavily-accented vocals describing life's hardships. A common joke runs that if one plays a country song backwards, the singer's child recovers from an illness",5681241,3437552088
Coldplay,Yellow,1770,"3,078,369","2,641,491,023",3409308,36692225,51,https://www.last.fm/music/Coldplay/_/Yellow,https://www.last.fm/music/Coldplay,4.483333333333333,4 мин 29 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",8825284,753851378
Sabrina Carpenter,Espresso,570,"11,692,253","2,581,312,393",2005282,50843201,23,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso,https://www.last.fm/music/Sabrina+Carpenter,2.9166666666666665,2 мин 55 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2983902,547170223
Benson Boone,Beautiful Things,654,"9,256,894","2,538,235,468",874520,9061291,1296,https://www.last.fm/music/Benson+Boone/_/Beautiful+Things,https://www.last.fm/music/Benson+Boone,3.0,3 мин,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",1362525,40206493
Vance Joy,Riptide,2449,"2,526,786","2,454,461,328",1975750,22114833,306,https://www.last.fm/music/Vance+Joy/_/Riptide,https://www.last.fm/music/Vance+Joy,3.3833333333333333,3 мин 23 сек,folk,"Folk music can have a number of different meanings, including:

Traditional music: The original meaning of the term ""folk music"" was synonymous with the term ""Traditional music"", also often including Roots music; the term ""Traditional music"" was given its more specific meaning to distinguish it from the other definitions that ""Folk music"" is now considered to encompass.
Folk music can also describe a particular kind of popular music which is based on traditional music.",2314548,47274524
The Chainsmokers,Something Just Like This,1971,"4,937,390","2,417,636,127",1132064,9857857,1210,https://www.last.fm/music/The+Chainsmokers/_/Something+Just+Like+This,https://www.last.fm/music/The+Chainsmokers,4.116666666666666,4 мин 07 сек,electronic,"Electronic music refers to music that emphasizes the use of electronic musical instruments or electronic music technology as a central aspect of the sound of the music. Historically, electronic music was considered to be any music created with the use of electronic musical instruments or electronic processing, but in modern times, that distinction has been lost because almost all recorded music today, and the majority of live music performances, depend on extensive use of electronics.",2618245,82171145
SZA,Kill Bill,848,"8,455,200","2,414,898,521",2065761,42479453,33,https://www.last.fm/music/SZA/_/Kill+Bill,https://www.last.fm/music/SZA,2.566666666666667,2 мин 34 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",3316727,546918064
The Weeknd,Die For You,1401,"3,554,197","2,408,351,577",1855834,31029227,90,https://www.last.fm/music/The+Weeknd/_/Die+for+You,https://www.last.fm/music/The+Weeknd,4.333333333333333,4 мин 20 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",5050479,1031011466
Lord Huron,The Night We Met,1189,"3,221,586","2,210,060,727",1704271,28552931,123,https://www.last.fm/music/Lord+Huron/_/The+Night+We+Met,https://www.last.fm/music/Lord+Huron,3.466666666666667,3 мин 28 сек,folk,"Folk music can have a number of different meanings, including:

Traditional music: The original meaning of the term ""folk music"" was synonymous with the term ""Traditional music"", also often including Roots music; the term ""Traditional music"" was given its more specific meaning to distinguish it from the other definitions that ""Folk music"" is now considered to encompass.
Folk music can also describe a particular kind of popular music which is based on traditional music.",2174011,66499290
OneRepublic,Counting Stars,2364,"1,717,699","2,191,926,755",1883795,18728891,466,https://www.last.fm/music/OneRepublic/_/Counting+Stars,https://www.last.fm/music/OneRepublic,4.283333333333333,4 мин 17 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",4170125,129952208
The Chainsmokers,Closer,1690,"6,875,523","2,116,247,151",1247970,10367000,1152,https://www.last.fm/music/The+Chainsmokers/_/Closer,https://www.last.fm/music/The+Chainsmokers,4.083333333333333,4 мин 05 сек,electronic,"Electronic music refers to music that emphasizes the use of electronic musical instruments or electronic music technology as a central aspect of the sound of the music. Historically, electronic music was considered to be any music created with the use of electronic musical instruments or electronic processing, but in modern times, that distinction has been lost because almost all recorded music today, and the majority of live music performances, depend on extensive use of electronics.",2618245,82171145
Dua Lipa,Don't Start Now,1152,"6,100,930","2,095,889,464",1468778,22889493,278,https://www.last.fm/music/Dua+Lipa/_/Don%27t+Start+Now,https://www.last.fm/music/Dua+Lipa,3.05,3 мин 03 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3101130,300824016
Hozier,Take Me To Church,2146,"2,140,282","2,061,356,631",2095590,26160975,168,https://www.last.fm/music/Hozier/_/Take+Me+to+Church,https://www.last.fm/music/Hozier,4.05,4 мин 03 сек,blues,"Blues is a vocal and instrumental form of music based on the use of ""blue notes."" It emerged in Black communities of the United States from spirituals, work songs, field hollers, shouts and chants, and rhymed simple narrative ballads. The use of blue notes and the prominence of call-and-response patterns in the music and lyrics are indicative of African influence. 

""Blue notes,"" also known as ""worried notes,"" are the typically flattened third, fifth, and seventh degrees in a major scale.",3180555,259757367
Teddy Swims,Lose Control,718,"5,154,184","2,059,947,793",771539,6821573,1484,https://www.last.fm/music/Teddy+Swims/_/Lose+Control,https://www.last.fm/music/Teddy+Swims,3.5,3 мин 30 сек,soul,"Soul music is a music genre that combines rhythm and blues and gospel music, originating in the United States.  According to the Rock and Roll Hall of Fame, soul is ""music that arose out of the black experience in America through the transmutation of gospel and rhythm & blues into a form of funky, secular testifying."" The genre occasionally uses improvisational additions, twirls and auxiliary sounds. Catchy rhythms, stressed by handclaps and plastic body moves, are an important feature.",1039878,18130590
ROSÉ,APT.,381,"14,596,132","2,034,368,043",1250895,24787412,208,https://www.last.fm/music/Ros%C3%A9/_/APT.,https://www.last.fm/music/Ros%C3%A9,2.816666666666667,2 мин 49 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",1543726,94413697
Jimin,Who,472,"10,674,703","2,026,935,324",398100,195455424,2,https://www.last.fm/music/Jimin/_/Who,https://www.last.fm/music/Jimin,2.833333333333333,2 мин 50 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",802534,731046222
Arctic Monkeys,505,1400,"1,987,531","2,016,389,164",2806962,52423060,21,https://www.last.fm/music/Arctic+Monkeys/_/505,https://www.last.fm/music/Arctic+Monkeys,5.083333333333333,5 мин 05 сек,indie rock,"Indie rock is a vague term used to identify rock artists that are or were unsigned, or have signed to small record labels, rather than major record labels.",6834211,882703772
Tate McRae,greedy,735,"6,282,050","1,955,708,128",1189535,21954429,314,https://www.last.fm/music/Tate+McRae/_/greedy,https://www.last.fm/music/Tate+McRae,2.183333333333333,2 мин 11 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2071651,221947016
The Police,Every Breath You Take,1480,"2,511,962","1,942,200,599",2557491,22434763,293,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take,https://www.last.fm/music/The+Police,4.233333333333333,4 мин 14 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",4320426,102623887
Travis Scott,goosebumps,1954,"3,297,928","1,919,311,891",1604870,22020348,312,https://www.last.fm/music/Travis+Scott/_/goosebumps,https://www.last.fm/music/Travis+Scott,4.05,4 мин 03 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",186496,11673244
Juice WRLD,Lucid Dreams,1426,"5,544,528","1,896,783,804",1201301,17248490,561,https://www.last.fm/music/Juice+WRLD/_/Lucid+Dreams,https://www.last.fm/music/Juice+WRLD,3.983333333333333,3 мин 59 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",2340697,483664304
Post Malone,Circles,1187,"7,292,777","1,887,977,040",1421900,20525938,370,https://www.last.fm/music/Post+Malone/_/Circles,https://www.last.fm/music/Post+Malone,3.583333333333333,3 мин 35 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",3354307,312638678
Billie Eilish,bad guy,949,"7,220,348","1,887,770,085",1592756,19439572,425,https://www.last.fm/music/Billie+Eilish/_/bad+guy,https://www.last.fm/music/Billie+Eilish,3.2333333333333334,3 мин 14 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3989143,768279522
Coldplay,Viva La Vida,1192,"2,811,786","1,878,316,664",3381953,39130412,40,https://www.last.fm/music/Coldplay/_/Viva+la+Vida,https://www.last.fm/music/Coldplay,4.033333333333333,4 мин 02 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",8825284,753851378
Eminem,Without Me,1508,"2,404,685","1,873,006,616",2198982,19756400,412,https://www.last.fm/music/Eminem/_/Without+Me,https://www.last.fm/music/Eminem,4.816666666666666,4 мин 49 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",7575439,544338755
Mariah Carey,All I Want for Christmas Is You,564,"24,863,570","1,834,830,299",2038924,18401581,482,https://www.last.fm/music/Mariah+Carey/_/All+I+Want+for+Christmas+Is+You,https://www.last.fm/music/Mariah+Carey,4.0,4 мин,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4800659,238697496
Chappell Roan,"Good Luck, Babe!",573,"6,303,841","1,812,747,592",1922409,53990189,18,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",https://www.last.fm/music/Chappell+Roan,3.633333333333333,3 мин 38 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2361801,297375519
The Weeknd,Save Your Tears,1199,"5,000,774","1,776,397,493",1735330,25586081,181,https://www.last.fm/music/The+Weeknd/_/Save+Your+Tears,https://www.last.fm/music/The+Weeknd,3.6166666666666663,3 мин 37 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",5050479,1031011466
Bruno Mars,Locked out of Heaven,1411,"2,951,846","1,759,948,452",2266993,22832105,284,https://www.last.fm/music/Bruno+Mars/_/Locked+Out+of+Heaven,https://www.last.fm/music/Bruno+Mars,3.883333333333333,3 мин 53 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4931024,262452537
Hozier,Too Sweet,579,"8,742,996","1,716,743,477",1283428,18937338,456,https://www.last.fm/music/Hozier/_/Too+Sweet,https://www.last.fm/music/Hozier,4.183333333333334,4 мин 11 сек,blues,"Blues is a vocal and instrumental form of music based on the use of ""blue notes."" It emerged in Black communities of the United States from spirituals, work songs, field hollers, shouts and chants, and rhymed simple narrative ballads. The use of blue notes and the prominence of call-and-response patterns in the music and lyrics are indicative of African influence. 

""Blue notes,"" also known as ""worried notes,"" are the typically flattened third, fifth, and seventh degrees in a major scale.",3180555,259757367
Ed Sheeran,Photograph,2193,"1,769,541","1,707,039,460",1166777,11022705,1090,https://www.last.fm/music/Ed+Sheeran/_/Photograph,https://www.last.fm/music/Ed+Sheeran,4.3,4 мин 18 сек,acoustic,"The word ""acoustic"" is derived from the Latin term for the ear canal. Acoustics is therefore the branch of science which studies sound. By derivation, ""acoustic music"" is that which is made naturally, without the use of electricity, electronics, etc. Think of it as any type of natural sound. It is essentially synonymous with the term ""unplugged.""

Acoustic includes a broad range of musical genres, the common theme being that the music is played without amps",4026613,243931299
The Walters,I Love You So,1204,"2,139,814","1,693,270,634",1608315,25056083,200,https://www.last.fm/music/The+Walters/_/I+Love+You+So,https://www.last.fm/music/The+Walters,2.6666666666666665,2 мин 40 сек,indie rock,"Indie rock is a vague term used to identify rock artists that are or were unsigned, or have signed to small record labels, rather than major record labels.",1753043,33375554
Djo,End of Beginning,625,"8,481,534","1,686,622,498",1605784,26011247,172,https://www.last.fm/music/Djo/_/End+of+Beginning,https://www.last.fm/music/Djo,2.65,2 мин 39 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",1927986,67380124
Kendrick Lamar,Not Like Us,523,"12,809,644","1,677,161,624",1814693,27870490,135,https://www.last.fm/music/Kendrick+Lamar/_/Not+Like+Us,https://www.last.fm/music/Kendrick+Lamar,4.583333333333333,4 мин 35 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",4853576,961298486
Cigarettes After Sex,Apocalypse,1180,"1,982,056","1,659,285,721",1920851,37772211,46,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse,https://www.last.fm/music/Cigarettes+After+Sex,4.833333333333333,4 мин 50 сек,dream pop,"Dream pop, also written as dreampop, is a subgenre of alternative rock and neo-psychedelia that emphasizes atmosphere and sonic texture alongside pop melodies. It is characterized by features such as breathy vocals, dense production, and the use of effects like reverb, echo, tremolo, and chorus. The genre often overlaps with shoegaze, and the two terms have sometimes been used interchangeably.

Dream pop gained prominence in the 1980s through artists associated with the UK label 4AD, including Cocteau Twins, This Mortal Coil, and A.",2675022,275024724
Ariana Grande,we can't be friends (wait for your love),605,"9,432,687","1,655,408,640",1272178,31327143,86,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love),https://www.last.fm/music/Ariana+Grande,3.8,3 мин 48 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4198338,1001304833
Olivia Rodrigo,good 4 u,549,"12,586,645","1,622,311,439",1700760,34358854,62,https://www.last.fm/music/Olivia+Rodrigo/_/good+4+u,https://www.last.fm/music/Olivia+Rodrigo,3.433333333333333,3 мин 26 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2903012,513026427
Olivia Rodrigo,drivers license,692,"13,714,177","1,595,963,086",1509014,28937757,119,https://www.last.fm/music/Olivia+Rodrigo/_/drivers+license,https://www.last.fm/music/Olivia+Rodrigo,4.033333333333333,4 мин 02 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2903012,513026427
Billie Eilish,WILDFLOWER,535,"6,821,322","1,586,361,759",1454118,31186484,89,https://www.last.fm/music/Billie+Eilish/_/WILDFLOWER,https://www.last.fm/music/Billie+Eilish,4.35,4 мин 21 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3989143,768279522
Dua Lipa,Levitating,812,"4,626,710","1,581,427,006",1131157,15835924,657,https://www.last.fm/music/Dua+Lipa/_/Levitating,https://www.last.fm/music/Dua+Lipa,3.3833333333333333,3 мин 23 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3101130,300824016
Sabrina Carpenter,Please Please Please,463,"12,835,312","1,576,052,381",1594285,33147918,70,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please,https://www.last.fm/music/Sabrina+Carpenter,3.1,3 мин 06 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2983902,547170223
Bruno Mars,That's What I Like,1115,"3,482,628","1,533,923,950",1651755,15287549,695,https://www.last.fm/music/Bruno+Mars/_/That%27s+What+I+Like,https://www.last.fm/music/Bruno+Mars,3.433333333333333,3 мин 26 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4931024,262452537
