Artist,Song,listeners,playcount,rank,track_url,artist_url,duration_min,duration,genre,genre_description,artist_listeners,artist_playcount
V,FRI(END)S,290279,88376824,11,https://www.last.fm/music/V/_/FRI(END)S,https://www.last.fm/music/V,2.466666666666667,2 мин 28 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",850863,661435983
RM,Wild Flower (with youjeen),307257,78757357,12,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),https://www.last.fm/music/RM,4.55,4 мин 33 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",722388,450965725
V,Winter Ahead (with PARK HYO SHIN),129596,76240234,13,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),https://www.last.fm/music/V,3.9,3 мин 54 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",850863,661435983
BTS,Boy With Luv (feat. Halsey),833644,73922070,14,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),https://www.last.fm/music/BTS,3.816666666666667,3 мин 49 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",2196700,2551382152
j-hope,Mona Lisa,268945,69532358,15,https://www.last.fm/music/j-hope/_/Mona+Lisa,https://www.last.fm/music/j-hope,2.283333333333333,2 мин 17 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",946044,663689613
Jung Kook,3D (feat. Jack Harlow),591386,61988783,16,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),https://www.last.fm/music/Jung+Kook,3.35,3 мин 21 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",1338717,734646247
BTS,Life Goes On,501065,56441281,17,https://www.last.fm/music/BTS/_/Life+Goes+On,https://www.last.fm/music/BTS,3.466666666666667,3 мин 28 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",2196700,2551382152
Chappell Roan,"Good Luck, Babe!",1922409,53990189,18,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",https://www.last.fm/music/Chappell+Roan,3.6333333333333333,3 мин 38 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2361801,297375519
Radiohead,Creep,3837742,53708922,19,https://www.last.fm/music/Radiohead/_/Creep,https://www.last.fm/music/Radiohead,3.9166666666666665,3 мин 55 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",7937435,1276525101
Jung Kook,Seven (feat. Latto),373278,52808780,20,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),https://www.last.fm/music/Jung+Kook,3.066666666666667,3 мин 04 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",1338717,734646247
Arctic Monkeys,505,2806962,52423060,21,https://www.last.fm/music/Arctic+Monkeys/_/505,https://www.last.fm/music/Arctic+Monkeys,5.083333333333333,5 мин 05 сек,indie rock,"Indie rock is a vague term used to identify rock artists that are or were unsigned, or have signed to small record labels, rather than major record labels.",6834211,882703772
"Tyler, The Creator",See You Again (feat. Kali Uchis),2388269,52166197,22,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)","https://www.last.fm/music/Tyler,+The+Creator",3.0,3 мин,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",4093073,970740043
Sabrina Carpenter,Espresso,2005282,50843201,23,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso,https://www.last.fm/music/Sabrina+Carpenter,2.9166666666666665,2 мин 55 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2983902,547170223
Billie Eilish,BIRDS OF A FEATHER,2047101,50373144,24,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,https://www.last.fm/music/Billie+Eilish,3.5,3 мин 30 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3989143,768279522
Radiohead,No Surprises,3181095,50034422,25,https://www.last.fm/music/Radiohead/_/No+Surprises,https://www.last.fm/music/Radiohead,3.7666666666666666,3 мин 46 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",7937435,1276525101
Taylor Swift,Cruel Summer,1611779,47213782,26,https://www.last.fm/music/Taylor+Swift/_/Cruel+Summer,https://www.last.fm/music/Taylor+Swift,2.966666666666667,2 мин 58 сек,country,"Country music is a broad term, covering a great many styles of music predominantly created in the southern United States of America - however there are growing traditions of country music elsewhere, particularly in Canada and Australia.

Country music is generally characterized by its use of the guitar and its heavily-accented vocals describing life's hardships. A common joke runs that if one plays a country song backwards, the singer's child recovers from an illness",5681241,3437552088
Mitski,My Love Mine All Mine,1889917,46543258,27,https://www.last.fm/music/Mitski/_/My+Love+Mine+All+Mine,https://www.last.fm/music/Mitski,2.3333333333333335,2 мин 20 сек,indie rock,"Indie rock is a vague term used to identify rock artists that are or were unsigned, or have signed to small record labels, rather than major record labels.",3043525,600305252
The Killers,Mr. Brightside,3456389,46455062,28,https://www.last.fm/music/The+Killers/_/Mr.+Brightside,https://www.last.fm/music/The+Killers,3.7,3 мин 42 сек,indie,"The term 'indie' is best known as being an abbreviation for the word 'independent'. This term is used to differentiate between bands that were/are on a major record label and those that weren't. Indie is not a genre of music, and is only a term for bands on independent labels.",6721749,367204213
The Neighbourhood,Sweater Weather,2750909,45328300,29,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,https://www.last.fm/music/The+Neighbourhood,4.0,4 мин,indie,"The term 'indie' is best known as being an abbreviation for the word 'independent'. This term is used to differentiate between bands that were/are on a major record label and those that weren't. Indie is not a genre of music, and is only a term for bands on independent labels.",3711268,351516624
TV Girl,Lovers Rock,1984657,45119855,30,https://www.last.fm/music/TV+Girl/_/Lovers+Rock,https://www.last.fm/music/TV+Girl,3.55,3 мин 33 сек,indie pop,"Indie pop is a loosely defined genre describing music that sounds like it was produced by an indie artist (even if not the case). Typically, indie pop songs have a DIY aesthetic, and are created in opposition to the styles found in mainstream pop. Songs that are considered indie pop are usually also categorized as bedroom pop, dream pop, and alternative pop.

The term indie pop is somewhat controversial, as artists, albums, and songs are often tagged as indie pop, while not being made by an independent or non-mainstream artist.",2622965,258251813
Taylor Swift,cardigan,1469339,42666937,31,https://www.last.fm/music/Taylor+Swift/_/cardigan,https://www.last.fm/music/Taylor+Swift,3.9833333333333334,3 мин 59 сек,country,"Country music is a broad term, covering a great many styles of music predominantly created in the southern United States of America - however there are growing traditions of country music elsewhere, particularly in Canada and Australia.

Country music is generally characterized by its use of the guitar and its heavily-accented vocals describing life's hardships. A common joke runs that if one plays a country song backwards, the singer's child recovers from an illness",5681241,3437552088
Tame Impala,The Less I Know the Better,2491434,42597772,32,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,https://www.last.fm/music/Tame+Impala,3.6166666666666667,3 мин 37 сек,psychedelic rock,"Psychedelic rock is a subgenre of rock that emerged in the '60s. It is influenced by the psychedelic culture of the time, and psychedelic (psychotropic) drugs, such as LSD and shrooms.

The musical style often incorporates flowing, hypnotic rhythms. Typical instruments associated with the genre include electric guitar, which is often augmented with effects pedals; various types of organs, which include Hammonds and Farfisas; bass guitar, and drums. Vocals in psychedelic rock music are also sometimes augmented with effects.",3973723,363435092
SZA,Kill Bill,2065761,42479453,33,https://www.last.fm/music/SZA/_/Kill+Bill,https://www.last.fm/music/SZA,2.566666666666667,2 мин 34 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",3316727,546918064
Foo Fighters,Everlong,2947325,42390384,34,https://www.last.fm/music/Foo+Fighters/_/Everlong,https://www.last.fm/music/Foo+Fighters,6.083333333333333,6 мин 05 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",6184582,351480035
Arctic Monkeys,Do I Wanna Know?,2716007,41636723,35,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F,https://www.last.fm/music/Arctic+Monkeys,4.566666666666666,4 мин 34 сек,indie rock,"Indie rock is a vague term used to identify rock artists that are or were unsigned, or have signed to small record labels, rather than major record labels.",6834211,882703772
Taylor Swift,august,1316204,41011423,36,https://www.last.fm/music/Taylor+Swift/_/august,https://www.last.fm/music/Taylor+Swift,4.35,4 мин 21 сек,country,"Country music is a broad term, covering a great many styles of music predominantly created in the southern United States of America - however there are growing traditions of country music elsewhere, particularly in Canada and Australia.

Country music is generally characterized by its use of the guitar and its heavily-accented vocals describing life's hardships. A common joke runs that if one plays a country song backwards, the singer's child recovers from an illness",5681241,3437552088
Frank Ocean,Ivy,1751836,40244984,37,https://www.last.fm/music/Frank+Ocean/_/Ivy,https://www.last.fm/music/Frank+Ocean,4.15,4 мин 09 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",4050358,720227825
Radiohead,Karma Police,3151611,39796805,38,https://www.last.fm/music/Radiohead/_/Karma+Police,https://www.last.fm/music/Radiohead,4.383333333333334,4 мин 23 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",7937435,1276525101
Harry Styles,As It Was,1867858,39479081,39,https://www.last.fm/music/Harry+Styles/_/As+It+Was,https://www.last.fm/music/Harry+Styles,2.75,2 мин 45 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3037938,381185399
Coldplay,Viva la Vida,3381953,39130412,40,https://www.last.fm/music/Coldplay/_/Viva+la+Vida,https://www.last.fm/music/Coldplay,4.033333333333333,4 мин 02 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",8825284,753851378
BTS,Run BTS,522757,39103359,41,https://www.last.fm/music/BTS/_/Run+BTS,https://www.last.fm/music/BTS,3.4,3 мин 24 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",2196700,2551382152
Nirvana,Smells Like Teen Spirit,3867355,39059339,42,https://www.last.fm/music/Nirvana/_/Smells+Like+Teen+Spirit,https://www.last.fm/music/Nirvana,5.033333333333333,5 мин 02 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",7287891,550730215
Lady Gaga,Poker Face,3425061,38894306,43,https://www.last.fm/music/Lady+Gaga/_/Poker+Face,https://www.last.fm/music/Lady+Gaga,3.95,3 мин 57 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",7435460,963915459
Frank Ocean,Nights,1538061,38504769,44,https://www.last.fm/music/Frank+Ocean/_/Nights,https://www.last.fm/music/Frank+Ocean,2.85,2 мин 51 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",4050358,720227825
Arctic Monkeys,Why'd You Only Call Me When You're High?,2513505,38242351,45,https://www.last.fm/music/Arctic+Monkeys/_/Why%27d+You+Only+Call+Me+When+You%27re+High%3F,https://www.last.fm/music/Arctic+Monkeys,2.683333333333333,2 мин 41 сек,indie rock,"Indie rock is a vague term used to identify rock artists that are or were unsigned, or have signed to small record labels, rather than major record labels.",6834211,882703772
Cigarettes After Sex,Apocalypse,1920851,37772211,46,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse,https://www.last.fm/music/Cigarettes+After+Sex,4.833333333333333,4 мин 50 сек,dream pop,"Dream pop, also written as dreampop, is a subgenre of alternative rock and neo-psychedelia that emphasizes atmosphere and sonic texture alongside pop melodies. It is characterized by features such as breathy vocals, dense production, and the use of effects like reverb, echo, tremolo, and chorus. The genre often overlaps with shoegaze, and the two terms have sometimes been used interchangeably.

Dream pop gained prominence in the 1980s through artists associated with the UK label 4AD, including Cocteau Twins, This Mortal Coil, and A.",2675022,275024724
Nirvana,Come as You Are,3680722,37491752,47,https://www.last.fm/music/Nirvana/_/Come+as+You+Are,https://www.last.fm/music/Nirvana,3.65,3 мин 39 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",7287891,550730215
Steve Lacy,Dark Red,2016148,37151971,48,https://www.last.fm/music/Steve+Lacy/_/Dark+Red,https://www.last.fm/music/Steve+Lacy,2.8833333333333333,2 мин 53 сек,jazz,"Jazz is a musical art form which originated around the beginning of the 20th century in Black communities in the Southern United States from a confluence of African and European music traditions. The style's West African pedigree is evident in its use of blue notes, call-and-response, improvisation, polyrhythms, syncopation, and the swung note of ragtime.

From its early development until the present, jazz has also incorporated music from 19th and 20th century American popular music, which is based on European music traditions.",2930941,266547447
Radiohead,Jigsaw Falling Into Place,2186616,36916431,49,https://www.last.fm/music/Radiohead/_/Jigsaw+Falling+Into+Place,https://www.last.fm/music/Radiohead,4.45,4 мин 27 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",7937435,1276525101
"Tyler, The Creator",EARFQUAKE,1965204,36865701,50,"https://www.last.fm/music/Tyler,+The+Creator/_/EARFQUAKE","https://www.last.fm/music/Tyler,+The+Creator",3.1666666666666665,3 мин 10 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",4093073,970740043
Coldplay,Yellow,3409308,36692225,51,https://www.last.fm/music/Coldplay/_/Yellow,https://www.last.fm/music/Coldplay,4.483333333333333,4 мин 29 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",8825284,753851378
The Weeknd,Blinding Lights,2221161,36470257,52,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,https://www.last.fm/music/The+Weeknd,3.3333333333333335,3 мин 20 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",5050479,1031011466
Lady Gaga,Bad Romance,2895618,36419113,53,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance,https://www.last.fm/music/Lady+Gaga,4.9,4 мин 54 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",7435460,963915459
